     X                   Y                   Z
  1.000000            1.000000            1.000000
  2.000000            2.000000            4.000000
  3.000000            3.000000            9.000000
  4.000000            4.000000           16.000000
  5.000000            5.000000           25.000000
  6.000000            6.000000           36.000000
  7.000000            7.000000           49.000000
  8.000000            8.000000           64.000000
  9.000000            9.000000           81.000000
 10.000000           10.000000          100.000000
 11.000000           11.000000          121.000000
 12.000000           12.000000          144.000000
 13.000000           13.000000          169.000000
 14.000000           14.000000          196.000000
 15.000000           15.000000          225.000000
 16.000000           16.000000          256.000000
 17.000000           17.000000          289.000000
 18.000000           18.000000          324.000000
 19.000000           19.000000          361.000000
 20.000000           20.000000          400.000000

Square root of the sum of Z[] - 53.572381
